Execute Anonymous

================================


List<String> stageNames = new List<String>{'Closed Won','Closed Lost','Value Proposition','Negotiation/Review','Proposal/Price Quote','Needs Analysis'};
for (Integer i = 0 ; i < 100; i++){
    Integer numUnits = Integer.valueof(Math.floor(Math.random() * 100));
    Integer stageIdx = Math.mod(numUnits,stageNames.size());
    System.debug(stageIdx);
 System.debug(stageNames.get(stageIdx));
}

================================

33.0 APEX_CODE,DEBUG;APEX_PROFILING,DEBUG;CALLOUT,INFO;DB,INFO;VALIDATION,INFO;WORKFLOW,INFO
Execute Anonymous: 
Execute Anonymous: List<String> stageNames = new List<String>{'Closed Won','Closed Lost','Value Proposition','Negotiation/Review','Proposal/Price Quote','Needs Analysis'};
Execute Anonymous: for (Integer i = 0 ; i < 100; i++){
Execute Anonymous:     Integer numUnits = Integer.valueof(Math.floor(Math.random() * 100));
Execute Anonymous:     Integer stageIdx = Math.mod(numUnits,stageNames.size());
Execute Anonymous:     System.debug(stageIdx);
Execute Anonymous:  System.debug(stageNames.get(stageIdx));
Execute Anonymous: }
18:01:10.023 (23741591)|EXECUTION_STARTED
18:01:10.023 (23751199)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
18:01:10.024 (24778018)|USER_DEBUG|[6]|DEBUG|0
18:01:10.024 (24825176)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.024 (24961977)|USER_DEBUG|[6]|DEBUG|1
18:01:10.024 (24986561)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.025 (25112635)|USER_DEBUG|[6]|DEBUG|2
18:01:10.025 (25137571)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.025 (25262437)|USER_DEBUG|[6]|DEBUG|3
18:01:10.025 (25286387)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.025 (25410298)|USER_DEBUG|[6]|DEBUG|4
18:01:10.025 (25433772)|USER_DEBUG|[7]|DEBUG|Proposal/Price Quote
18:01:10.025 (25557613)|USER_DEBUG|[6]|DEBUG|5
18:01:10.025 (25581081)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.025 (25704707)|USER_DEBUG|[6]|DEBUG|2
18:01:10.025 (25728349)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.025 (25857142)|USER_DEBUG|[6]|DEBUG|1
18:01:10.025 (25880854)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.026 (26004111)|USER_DEBUG|[6]|DEBUG|0
18:01:10.026 (26028518)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.026 (26152419)|USER_DEBUG|[6]|DEBUG|5
18:01:10.026 (26175710)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.026 (26298790)|USER_DEBUG|[6]|DEBUG|3
18:01:10.026 (26322112)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.026 (26444365)|USER_DEBUG|[6]|DEBUG|0
18:01:10.026 (26467493)|USER_DEBUG|[7]|DEBUG|Closed Won
18:01:10.026 (26590067)|USER_DEBUG|[6]|DEBUG|3
18:01:10.026 (26613578)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.026 (26739608)|USER_DEBUG|[6]|DEBUG|5
18:01:10.026 (26764007)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.026 (26888504)|USER_DEBUG|[6]|DEBUG|2
18:01:10.026 (26911861)|USER_DEBUG|[7]|DEBUG|Value Proposition
18:01:10.027 (27035205)|USER_DEBUG|[6]|DEBUG|1
18:01:10.027 (27059625)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.027 (27183096)|USER_DEBUG|[6]|DEBUG|1
18:01:10.027 (27206410)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.027 (27330192)|USER_DEBUG|[6]|DEBUG|3
18:01:10.027 (27353362)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.027 (27475640)|USER_DEBUG|[6]|DEBUG|1
18:01:10.027 (27498645)|USER_DEBUG|[7]|DEBUG|Closed Lost
18:01:10.027 (27621929)|USER_DEBUG|[6]|DEBUG|5
18:01:10.027 (27645082)|USER_DEBUG|[7]|DEBUG|Needs Analysis
18:01:10.027 (27772395)|USER_DEBUG|[6]|DEBUG|3
18:01:10.027 (27795776)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
18:01:10.027 (27919681)|USER_DEBUG|[6]|DEBUG|3
18:01:10.027 (27943098)|USER_DEBUG|[7]|DEBUG|Negotiation/Review
